initial_alias,name
ENSMUSG00000119168,Gm23412
ENSMUSG00000110335,1700015I17Rik
ENSMUSG00000047181,Samd14
ENSMUSG00000115763,Gm48974
ENSMUSG00000065904,Gm26109
ENSMUSG00000039607,Rbms3
ENSMUSG00000052572,Dlg2
ENSMUSG00000068231,Vmn1r43
ENSMUSG00000024481,Lvrn
ENSMUSG00000114662,Gm31683
ENSMUSG00000084304,Gm6142
ENSMUSG00000118235,Gm7503
ENSMUSG00000017446,C1qtnf1
ENSMUSG00000095961,Vmn2r102
ENSMUSG00000073111,Or2a12
ENSMUSG00000118047,4930554I06Rik
ENSMUSG00000113331,3110009F21Rik
ENSMUSG00000111974,Gm4803
ENSMUSG00000083805,Gm14848
ENSMUSG00000082180,Gm12230
ENSMUSG00000014361,Mertk
ENSMUSG00000092887,Snord53
ENSMUSG00000117013,Gm30531
ENSMUSG00000082971,Gm13517
ENSMUSG00000060879,Gm6564
ENSMUSG00000037005,Xpnpep2
ENSMUSG00000065556,Mir101b
ENSMUSG00000059401,Mamld1
ENSMUSG00000086487,Gm11638
ENSMUSG00000104135,Gm36953
ENSMUSG00000091668,Gm8358
ENSMUSG00000105347,Gm43503
ENSMUSG00000105457,Gm43200
ENSMUSG00000079324,4932414N04Rik
ENSMUSG00000046678,Or10g6
ENSMUSG00000114034,Gm9267
ENSMUSG00000084144,Gm12516
ENSMUSG00000114668,Gm47563
ENSMUSG00000114083,Gm47860
ENSMUSG00000090176,Cd200r2
ENSMUSG00000108737,BC060293
ENSMUSG00000031594,Fgl1
ENSMUSG00000107009,6720475M21Rik
ENSMUSG00000076006,Mir376c
ENSMUSG00000114664,Gm48639
ENSMUSG00000087143,A830082K12Rik
ENSMUSG00000082277,Gm15807
ENSMUSG00000099470,Gm29340
ENSMUSG00000020154,Ptprb
ENSMUSG00000059898,Dsc3
ENSMUSG00000041301,Cftr
ENSMUSG00000025779,Ly96
ENSMUSG00000064605,Gm22220
ENSMUSG00000024027,Glp1r
ENSMUSG00000111341,Gm47111
ENSMUSG00000062773,Tex101
ENSMUSG00000107529,Gm44291
ENSMUSG00000075141,Or9m1b
ENSMUSG00000097595,1500002F19Rik
ENSMUSG00000109910,Gm45240
ENSMUSG00000118018,Gm54728
ENSMUSG00000106001,Gm42826
ENSMUSG00000103120,Gm37392
ENSMUSG00000104493,Gm19552
ENSMUSG00000031766,Slc12a3
ENSMUSG00000114828,AI463229
ENSMUSG00000025288,4933436I01Rik
ENSMUSG00000119399,n-R5s115
ENSMUSG00000108813,Rpl19-ps9
ENSMUSG00000099714,Gm20587
ENSMUSG00000077565,Gm23201
ENSMUSG00000111547,Gm48069
ENSMUSG00000112855,Gm47842
ENSMUSG00000086240,Gm7846
ENSMUSG00000083052,Gm12285
ENSMUSG00000021388,Aspn
ENSMUSG00000116986,Gm17804
ENSMUSG00000109156,Gm45194
ENSMUSG00000054162,Spock3
ENSMUSG00000086012,Gm15902
ENSMUSG00000115306,Gm49159
ENSMUSG00000112085,Gm48587
ENSMUSG00000026358,Rgs1
ENSMUSG00000116202,Rpl10a-ps3
ENSMUSG00000117397,Gm4599
ENSMUSG00000060512,0610040J01Rik
